Symbol,Price,Time
BLUEJET.NS,531.1,2026-01-02 22:48:19
BLUESTARCO.NS,1816.1,2026-01-02 22:48:19
BLUESTONE.NS,500.75,2026-01-02 22:48:19
BLUSPRING.NS,65.97,2026-01-02 22:48:19
BMWVENTLTD.NS,57.52,2026-01-02 22:48:20
BODALCHEM.NS,53.99,2026-01-02 22:48:20
BOHRAIND.NS,17.06,2026-01-02 22:48:20
BOMDYEING.NS,130.01,2026-01-02 22:48:21
BORANA.NS,303.15,2026-01-02 22:48:21
BOROLTD.NS,283.5,2026-01-02 22:48:21
BORORENEW.NS,547.95,2026-01-02 22:48:21
BOROSCI.NS,119.58,2026-01-02 22:48:21
BOSCH-HCIL.NS,1442.6,2026-01-02 22:48:22
BOSCHLTD.NS,39420.0,2026-01-02 22:48:22
BPCL.NS,381.45,2026-01-02 22:48:22
BPL.NS,66.71,2026-01-02 22:48:22
BRIGADE.NS,890.45,2026-01-02 22:48:23
BRIGHOTEL.NS,68.7,2026-01-02 22:48:23
BRITANNIA.NS,5984.5,2026-01-02 22:48:23
BRNL.NS,22.12,2026-01-02 22:48:23
BROOKS.NS,77.26,2026-01-02 22:48:24
BSE.NS,2666.5,2026-01-02 22:48:24
BSHSL.NS,107.07,2026-01-02 22:48:24
BSL.NS,147.17,2026-01-02 22:48:24
BSOFT.NS,432.05,2026-01-02 22:48:25
BTML.NS,8.49,2026-01-02 22:48:25
BUTTERFLY.NS,643.15,2026-01-02 22:48:25
BVCL.NS,43.23,2026-01-02 22:48:25
BYKE.NS,53.74,2026-01-02 22:48:26
CALSOFT.NS,15.73,2026-01-02 22:48:26
CAMLINFINE.NS,149.85,2026-01-02 22:48:26
CAMPUS.NS,261.85,2026-01-02 22:48:26
CAMS.NS,756.55,2026-01-02 22:48:27
CANBK.NS,154.87,2026-01-02 22:48:29
CANFINHOME.NS,940.4,2026-01-02 22:48:29
CANHLIFE.NS,149.7,2026-01-02 22:48:29
CANTABIL.NS,289.15,2026-01-02 22:48:30
CAPACITE.NS,257.85,2026-01-02 22:48:30
CAPILLARY.NS,673.2,2026-01-02 22:48:30
CAPITALSFB.NS,270.85,2026-01-02 22:48:30
CAPLIPOINT.NS,1848.8,2026-01-02 22:48:31
CAPTRUST.NS,12.9,2026-01-02 22:48:31
CARBORUNIV.NS,859.55,2026-01-02 22:48:31
CARERATING.NS,1688.5,2026-01-02 22:48:31
CARRARO.NS,556.4,2026-01-02 22:48:32
CARTRADE.NS,2900.9,2026-01-02 22:48:32
CARYSIL.NS,918.0,2026-01-02 22:48:32
CASTROLIND.NS,191.5,2026-01-02 22:48:32
CCCL.NS,18.1,2026-01-02 22:48:33
CCHHL.NS,15.23,2026-01-02 22:48:33
CCL.NS,915.7,2026-01-02 22:48:33
CDSL.NS,1466.6,2026-01-02 22:48:33
CEATLTD.NS,3887.2,2026-01-02 22:48:34
CEIGALL.NS,274.45,2026-01-02 22:48:34
CELEBRITY.NS,9.08,2026-01-02 22:48:34
CELLO.NS,547.25,2026-01-02 22:48:34
CEMPRO.NS,774.65,2026-01-02 22:48:35
CENTENKA.NS,457.45,2026-01-02 22:48:35
CENTEXT.NS,22.63,2026-01-02 22:48:35
CENTRALBK.NS,38.77,2026-01-02 22:48:35
CENTRUM.NS,29.09,2026-01-02 22:48:36
CENTUM.NS,2266.8,2026-01-02 22:48:36
CENTURYPLY.NS,824.1,2026-01-02 22:48:36
CERA.NS,5258.0,2026-01-02 22:48:36
CEREBRAINT.NS,6.21,2026-01-02 22:48:37
CESC.NS,175.37,2026-01-02 22:48:37
CEWATER.NS,471.65,2026-01-02 22:48:37
CGCL.NS,185.22,2026-01-02 22:48:37
CGPOWER.NS,649.1,2026-01-02 22:48:38
CHALET.NS,902.5,2026-01-02 22:48:38
CHAMBLFERT.NS,479.9,2026-01-02 22:48:38
CHEMBOND.NS,161.36,2026-01-02 22:48:38
CHEMBONDCH.NS,152.88,2026-01-02 22:48:39
CHEMCON.NS,208.04,2026-01-02 22:48:39
CHEMFAB.NS,426.8,2026-01-02 22:48:39
CHEMPLASTS.NS,265.8,2026-01-02 22:48:39
CHENNPETRO.NS,827.2,2026-01-02 22:48:40
CHEVIOT.NS,1073.5,2026-01-02 22:48:40
CHOICEIN.NS,850.3,2026-01-02 22:48:40
CHOLAFIN.NS,1781.1,2026-01-02 22:48:40
CHOLAHLDNG.NS,1872.5,2026-01-02 22:48:41
